latitude,longitude,depth,mag,place
8.8,94.165,27.0,6.0,
36.482,70.66,206.4,5.5,
32.128,76.374,33.0,5.5,
36.495,71.114,186.9,5.9,
36.374,70.712,222.8,5.6,
9.117,93.489,80.1,5.9,
31.24,86.847,33.0,6.1,
15.168,96.314,17.4,5.5,
15.188,96.201,14.8,5.6,
34.424,80.161,9.1,6.0,
31.049,77.997,33.0,5.5,
36.668,71.247,46.5,5.6,
23.753,94.177,26.5,5.5,
34.572,91.633,33.0,6.4,
36.714,71.092,88.7,5.6,
36.067,70.848,116.7,5.5,
36.539,71.125,224.5,5.5,
36.104,71.156,102.6,5.6,
36.48,70.673,202.1,6.2,
25.271,94.202,49.5,6.3,
29.502,83.714,47.5,5.6,
36.454,71.437,95.4,6.1,
24.688,91.57,33.0,5.9,
36.483,70.95,201.4,5.6,
25.149,95.127,90.5,7.3,
36.461,71.043,195.0,6.3,
26.755,86.616,57.4,6.9,
36.425,70.703,212.2,5.9,
34.354,91.88,7.6,6.2,
34.333,91.93,24.9,5.6,
25.17,94.652,66.5,5.6,
24.472,92.505,33.0,5.5,
21.861,89.763,5.8,5.8,
22.809,94.56,107.7,5.6,
36.085,71.069,95.1,6.0,
21.184,93.746,47.3,5.5,
28.225,88.163,79.1,5.5,
11.591,95.017,33.0,5.7,
24.753,95.241,119.2,6.3,
11.654,95.143,33.0,5.9,
36.907,73.021,12.2,6.2,
36.738,73.061,10.0,5.7,
36.043,70.428,113.1,6.0,
36.415,70.789,216.8,6.4,
35.121,70.486,113.9,5.8,
8.257,94.061,18.0,6.1,
23.613,95.901,19.7,7.0,
35.993,70.423,142.4,6.9,
36.27,70.645,154.7,5.5,
15.746,95.738,15.0,6.0,
12.627,95.11,24.3,5.5,
12.525,93.874,116.9,5.5,
36.334,71.119,212.9,6.7,
8.224,94.112,26.9,5.5,
30.78,78.774,10.3,6.8,
24.015,93.986,72.1,5.5,
29.543,81.632,29.4,5.6,
9.311,86.964,21.8,5.7,
35.515,74.529,47.0,5.5,
29.61,95.521,15.0,5.6,
20.927,94.586,96.7,5.6,
35.696,80.661,17.7,5.7,
24.315,94.898,116.1,5.7,
33.377,71.317,16.3,6.3,
24.027,95.932,17.3,6.3,
29.584,90.163,14.1,6.1,
36.446,70.852,198.4,5.6,
9.291,93.479,66.0,6.0,
30.837,90.373,33.0,5.9,
29.084,87.333,12.2,6.2,
36.437,70.416,272.0,5.7,
36.436,70.711,204.2,6.4,
36.379,70.868,214.5,7.0,
36.429,70.812,194.5,6.0,
36.421,71.592,112.6,6.3,
18.066,76.451,6.8,6.2,
26.188,96.867,33.0,5.9,
20.556,94.16,35.6,6.5,
28.736,70.07,33.0,5.9,
32.567,93.673,9.5,5.9,
36.326,71.13,226.6,6.3,
21.514,93.981,34.1,5.8,
24.721,95.2,121.7,6.1,
10.634,94.382,33.0,5.5,
17.974,96.415,12.3,5.8,
34.245,91.814,33.0,5.5,
36.391,69.708,47.2,5.5,
36.359,70.957,238.7,6.0,
25.54,96.657,14.0,5.9,
35.655,80.663,33.0,5.5,
27.635,92.371,39.3,5.5,
24.987,95.294,117.5,6.4,
36.455,70.893,186.5,5.9,
17.899,96.457,11.4,6.1,
32.624,69.68,27.6,5.7,
36.443,71.129,233.5,5.6,
36.43,70.387,222.7,6.3,
36.447,70.215,228.2,5.6,
30.147,88.189,33.0,5.7,
30.174,88.178,33.0,5.5,
36.046,70.706,119.5,5.9,
19.33,95.013,80.0,6.0,
35.345,78.133,33.0,6.9,
29.845,80.532,33.0,5.6,
35.687,95.819,10.0,5.5,
29.976,68.208,33.0,7.1,
29.422,68.79,33.0,5.7,
30.136,68.022,33.0,5.9,
24.894,92.25,34.9,6.0,
36.411,70.945,196.0,6.5,
23.083,80.041,36.0,5.8,
30.077,68.004,33.0,5.6,
29.078,85.383,33.0,5.5,
35.069,87.325,33.0,7.5,
22.212,92.702,54.4,6.1,
36.387,70.773,207.0,6.3,
25.384,96.609,33.0,5.8,
36.358,71.105,218.9,5.5,
36.479,71.086,235.6,6.4,
36.433,70.133,227.8,5.9,
24.932,95.311,121.5,5.5,
30.134,88.173,33.2,5.8,
30.079,88.109,33.0,5.9,
27.85,86.941,33.0,5.6,
36.514,71.021,222.5,5.7,
34.259,69.364,33.0,6.0,
30.512,79.403,15.0,6.6,
24.908,93.678,66.4,5.6,
36.388,70.707,230.2,5.5,
30.098,69.444,33.0,5.6,
36.622,71.353,189.3,5.7,
30.069,69.419,51.5,5.7,
29.999,69.397,33.0,5.5,
36.522,71.24,228.4,6.5,
32.222,92.7,33.0,5.5,
36.372,70.379,206.9,6.0,
35.975,70.657,107.7,6.3,
36.283,70.924,141.4,6.3,
10.002,92.952,33.0,5.9,
23.866,94.863,116.5,5.6,
9.938,92.978,33.0,5.6,
21.692,92.908,33.0,5.5,
23.419,70.232,16.0,7.7,
23.316,69.981,10.0,5.5,
23.507,70.517,10.0,5.8,
36.424,70.881,202.5,6.2,
34.369,86.902,33.0,5.9,
8.656,94.013,33.0,6.0,
33.165,95.6,33.0,5.5,
12.224,93.352,96.4,5.9,
35.946,90.541,10.0,7.8,
35.726,93.384,10.0,5.6,
35.726,93.691,10.0,5.6,
36.392,71.506,106.5,6.1,
29.606,81.752,33.0,5.5,
36.088,70.687,129.3,6.2,
36.429,70.438,209.0,6.3,
36.502,70.482,225.6,7.4,
36.062,69.315,8.0,6.1,
36.023,69.338,10.0,5.6,
35.959,69.417,10.0,5.9,
30.595,81.44,33.0,5.6,
34.132,94.495,33.0,5.6,
30.797,69.979,33.0,5.8,
13.036,93.068,21.0,6.5,
13.055,93.157,33.0,5.8,
13.112,93.168,33.0,5.5,
12.701,92.856,33.0,5.8,
35.414,74.515,33.0,6.3,
19.379,94.513,53.5,5.6,
35.704,69.868,90.8,5.5,
27.264,89.331,47.1,5.5,
12.518,92.564,33.0,5.9,
35.976,70.585,114.1,5.9,
34.606,89.475,17.7,5.8,
22.854,92.306,10.0,5.7,
22.825,92.343,10.0,5.5,
12.124,93.53,100.2,6.0,
29.573,95.605,33.0,5.5,
19.917,95.672,10.0,6.6,
34.774,73.216,11.0,5.5,
12.959,93.135,38.2,5.5,
31.639,91.236,11.0,5.6,
36.397,70.774,218.0,5.8,
33.954,89.179,8.0,6.0,
36.512,71.029,187.1,6.6,
8.904,94.022,29.2,5.6,
30.694,83.672,13.0,6.2,
12.405,95.016,23.9,5.6,
12.455,94.997,22.4,5.9,
12.445,95.003,24.1,5.6,
12.43,94.998,23.5,5.6,
36.444,70.796,207.0,6.0,
